ID Comet;NÚMERO de Estación ;NOMBRE;DIRECCIÓN;BARRIO;COMUNA;EMPLAZAMIENTO;LATITUD;LONGITUD
229;243;PLAZOLETA CELEDONIO FLORES;Cordoba 6599;CHACARITA;COMUNA 15;PLAZOLETA;-34.5817;-58.4515
230;259;PLAZA CASTELLI;Echeverria 3249;BELGRANO;COMUNA 13;PLAZA CERRADA;-34.5679;-58.4641
231;384;PLAZA BENITO NAZAR;Valentin Virasoro 1349;VILLA CRESPO;COMUNA 15;PLAZA;-34.6051178734071;-58.44599958909253
232;252;TAMBORINI;Jose Pascual Tamborini 3821;COGHLAN;COMUNA 12;CALZADA;-34.56;-58.479
234;344;UNIVERSIDAD DI TELLA;Figueroa Alcorta 7350;BELGRANO;COMUNA 13;VEREDA;-34.5472856;-58.4466568
235;281;VILLA URQUIZA;Av. Triunvirato 4800;VILLA URQUIZA;COMUNA 12;VEREDA;-34.5737343092291;-58.486924092765236
236;254;PLAZA RAFAEL HERNÁNDEZ;Vuelta De Obligado 2004;BELGRANO;COMUNA 13;PLAZA;-34.5623;-58.455
237;302;ESTACION VILLA LURO;Virgilio 90;VILLA LURO;COMUNA 10;VEREDA;-34.6370;-58.5011
239;391;PLAZA REPUBLICA DE ECUADOR;Av. Pres.Figueroa Alcorta  5201;PALERMO;COMUNA 14;VEREDA;-34.565336526556834;-58.420620761500174
241;348;VILLA DEL PARQUE;Pedro Lozano 3127;VILLA DEL PARQUE;COMUNA 11;PLAZOLETA;-34.6009;-58.4945
242;103;MALBA;Av. Pres. Figueroa Alcorta 3451;PALERMO;COMUNA 14;VEREDA;-34.5772;-58.4032
245;248;HÚSARES;Husares 2201;BELGRANO;COMUNA 13;CALZADA;-34.5524;-58.443
247;282;TRONADOR;Guevara 1615;VILLA ORTUZAR;COMUNA 15;PLAZOLETA;-34.5841;-58.4663
248;346;PLAZA ZAPIOLA;Donado 2001;VILLA URQUIZA;COMUNA 12;PLAZA;-34.5737;-58.4743
251;388;PLAZA JOSE C PAZ;Dr. Prof. Pedro Chutro 2881;PARQUE PATRICIOS;COMUNA 4;CALZADA;-34.64177963405175;-58.40254647691817
252;331;CALIFORNIA;California 1774;BARRACAS;COMUNA 4;VEREDA;-34.6471;-58.3743
253;383;BOEDO Y VENEZUELA;Av. Boedo 339;ALMAGRO;COMUNA 5;VEREDA;-34.616968;-58.416822
254;276;PRIMERA JUNTA ;Av. Rivadavia 5414;CABALLITO;COMUNA 6;VEREDA;-34.620879;-58.441517
255;374;PUAN;Yerbal 1290;CABALLITO;COMUNA 6;CALZADA;-34.6221;-58.4485
257;264;PLAZA MARCO SASTRE;Miller 2511;VILLA URQUIZA;COMUNA 12;PLAZA;-34.5711;-58.4809
258;336;LA PAMPA;La Pampa 2520;BELGRANO;COMUNA 13;CALZADA;-34.5655;-58.4554
259;290;CLUB EXCURSIONISTAS;Migueletes 1782;BELGRANO;COMUNA 13;CALZADA;-34.559067;-58.444122
260;371;PASEO DE LAS AMERICAS;Av. Pres.Figueroa Alcorta  6400;BELGRANO;COMUNA 13;PARQUE;-34.55307941090303;-58.43522348866202
261;272;PLAZA BRUNO GIORDANO;Bruno Giordano 727;CABALLITO;COMUNA 6;PLAZA;-34.6159;-58.4406
262;349;PLAZA SAENZ PEÑA ;Andrés Lamas 1701;VILLA GENERAL MITRE;COMUNA 11;PLAZA;-34.609693723669096;-58.46722118485508
263;270;PLAZA DEL ANGEL GRIS;Calcena 380;FLORES;COMUNA 7;PLAZA;-34.6218;-58.4577
